run,seed,nodes,committee,transport,fanout,slots,status,started_utc,finished_utc,elapsed_s,exit_code
750-everyone-push-late-dedupe-fall-s2,2,750,everyone,push-late-dedupe,all,400,passed,2026-09-10T17:55:06+00:00,2026-09-10T18:07:53+00:00,766.874,0
1500-everyone-announce-then-request-fall-s2,2,1500,everyone,announce-then-request,all,400,passed,2026-09-10T18:07:53+00:00,2026-09-10T18:37:45+00:00,1792.109,0
1500-everyone-push-fall-s2,2,1500,everyone,push,all,400,passed,2026-09-10T18:37:45+00:00,2026-09-10T19:12:27+00:00,2081.959,0
1500-everyone-push-late-dedupe-fall-s2,2,1500,everyone,push-late-dedupe,all,400,passed,2026-09-10T19:12:27+00:00,2026-09-10T19:49:50+00:00,2243.230,0
750-top-stake-seats-push-f22-s0,0,750,top-stake-seats,push,22,400,passed,2026-09-10T19:49:51+00:00,2026-09-10T19:57:45+00:00,474.256,0
750-top-stake-seats-push-late-dedupe-f22-s0,0,750,top-stake-seats,push-late-dedupe,22,400,passed,2026-09-10T19:57:45+00:00,2026-09-10T20:06:59+00:00,554.140,0
1500-top-stake-seats-push-f22-s0,0,1500,top-stake-seats,push,22,400,passed,2026-09-10T20:06:59+00:00,2026-09-10T20:25:14+00:00,1095.295,0
1500-top-stake-seats-push-late-dedupe-f22-s0,0,1500,top-stake-seats,push-late-dedupe,22,400,passed,2026-09-10T20:25:14+00:00,2026-09-10T20:45:10+00:00,1195.051,0
750-everyone-push-f22-s0,0,750,everyone,push,22,400,passed,2026-09-10T20:45:10+00:00,2026-09-10T20:55:25+00:00,615.353,0
750-everyone-push-late-dedupe-f22-s0,0,750,everyone,push-late-dedupe,22,400,passed,2026-09-10T20:55:25+00:00,2026-09-10T21:06:17+00:00,651.915,0
1500-everyone-push-f22-s0,0,1500,everyone,push,22,400,passed,2026-09-10T21:06:17+00:00,2026-09-10T21:36:14+00:00,1796.995,0
1500-everyone-push-late-dedupe-f22-s0,0,1500,everyone,push-late-dedupe,22,400,passed,2026-09-10T21:36:14+00:00,2026-09-10T22:07:39+00:00,1884.916,0
750-top-stake-seats-push-f22-s1,1,750,top-stake-seats,push,22,400,passed,2026-09-10T22:07:39+00:00,2026-09-10T22:15:41+00:00,481.863,0
750-top-stake-seats-push-late-dedupe-f22-s1,1,750,top-stake-seats,push-late-dedupe,22,400,passed,2026-09-10T22:15:41+00:00,2026-09-10T22:23:52+00:00,491.122,0
1500-top-stake-seats-push-f22-s1,1,1500,top-stake-seats,push,22,400,passed,2026-09-10T22:23:52+00:00,2026-09-10T22:42:03+00:00,1090.791,0
1500-top-stake-seats-push-late-dedupe-f22-s1,1,1500,top-stake-seats,push-late-dedupe,22,400,passed,2026-09-10T22:42:03+00:00,2026-09-10T23:01:29+00:00,1166.082,0
750-everyone-push-f22-s1,1,750,everyone,push,22,400,passed,2026-09-10T23:01:29+00:00,2026-09-10T23:11:28+00:00,598.448,0
750-everyone-push-late-dedupe-f22-s1,1,750,everyone,push-late-dedupe,22,400,passed,2026-09-10T23:11:28+00:00,2026-09-10T23:22:15+00:00,646.913,0
1500-everyone-push-f22-s1,1,1500,everyone,push,22,400,passed,2026-09-10T23:22:15+00:00,2026-09-10T23:49:53+00:00,1658.153,0
1500-everyone-push-late-dedupe-f22-s1,1,1500,everyone,push-late-dedupe,22,400,passed,2026-09-10T23:49:53+00:00,2026-09-11T00:19:51+00:00,1798.346,0
750-top-stake-seats-push-f22-s2,2,750,top-stake-seats,push,22,400,passed,2026-09-11T00:19:52+00:00,2026-09-11T00:27:46+00:00,474.345,0
750-top-stake-seats-push-late-dedupe-f22-s2,2,750,top-stake-seats,push-late-dedupe,22,400,passed,2026-09-11T00:27:46+00:00,2026-09-11T00:35:46+00:00,479.502,0
1500-top-stake-seats-push-f22-s2,2,1500,top-stake-seats,push,22,400,passed,2026-09-11T00:35:46+00:00,2026-09-11T00:53:16+00:00,1050.867,0
1500-top-stake-seats-push-late-dedupe-f22-s2,2,1500,top-stake-seats,push-late-dedupe,22,400,passed,2026-09-11T00:53:17+00:00,2026-09-11T01:11:47+00:00,1110.904,0
750-everyone-push-f22-s2,2,750,everyone,push,22,400,passed,2026-09-11T01:11:48+00:00,2026-09-11T01:22:38+00:00,650.177,0
750-everyone-push-late-dedupe-f22-s2,2,750,everyone,push-late-dedupe,22,400,passed,2026-09-11T01:22:38+00:00,2026-09-11T01:33:56+00:00,677.925,0
