id,name,role,stake,sent_bodies_messages,sent_bodies_bytes,sent_announcements_messages,sent_announcements_bytes,sent_requests_messages,sent_requests_bytes,sent_bytes,sent_mean_mbit_s,sent_peak_1s_mbit_s,sent_peak_window_start_s,received_bodies_messages,received_bodies_bytes,received_announcements_messages,received_announcements_bytes,received_requests_messages,received_requests_bytes,received_bytes,received_mean_mbit_s,received_peak_1s_mbit_s,received_peak_window_start_s
1170,node-701,relay,0,222425,20907950,0,0,0,0,20907950,0.418159,8.280272,67,315614,29667716,0,0,0,0,29667716,0.59335432,11.750752,67
1171,node-702,relay,0,249356,23439464,0,0,0,0,23439464,0.46878928000000003,9.282688,67,263990,24815060,0,0,0,0,24815060,0.4963012,9.833904,67
1172,node-703,relay,0,267316,25127704,0,0,0,0,25127704,0.50255408,9.951968,67,351920,33080480,0,0,0,0,33080480,0.6616096,13.11488,67
1173,node-704,relay,0,294204,27655176,0,0,0,0,27655176,0.5531035200000001,10.95288,67,280792,26394448,0,0,0,0,26394448,0.52788896,10.449792,67
1174,node-705,relay,0,285043,26794042,0,0,0,0,26794042,0.53588084,10.613728,67,272857,25648558,0,0,0,0,25648558,0.51297116,10.147488,67
1175,node-706,relay,0,258256,24276064,0,0,0,0,24276064,0.48552128000000006,9.61432,67,334877,31478438,0,0,0,0,31478438,0.6295687600000001,12.4644,67
1176,node-707,relay,0,258289,24279166,0,0,0,0,24279166,0.48558332,9.615072,67,343526,32291444,0,0,0,0,32291444,0.6458288799999999,12.785504,67
1177,node-708,relay,0,276396,25981224,0,0,0,0,25981224,0.51962448,10.291872,67,317435,29838890,0,0,0,0,29838890,0.5967778,11.812416,67
1178,node-709,relay,0,257959,24248146,0,0,0,0,24248146,0.48496291999999996,9.604544,67,379784,35699696,0,0,0,0,35699696,0.7139939200000001,14.146624,67
1179,node-71,relay,0,933353,87735182,0,0,0,0,87735182,1.7547036399999998,34.752176,67,305538,28720572,0,0,0,0,28720572,0.57441144,11.383776,67
1180,node-710,relay,0,276345,25976430,0,0,0,0,25976430,0.5195286,10.288112,67,387105,36387870,0,0,0,0,36387870,0.7277574,14.42336,67
1181,node-711,relay,0,293798,27617012,0,0,0,0,27617012,0.5523402399999999,10.942352,67,280886,26403284,0,0,0,0,26403284,0.52806568,10.46032,67
1182,node-712,relay,0,267294,25125636,0,0,0,0,25125636,0.50251272,9.951968,67,353368,33216592,0,0,0,0,33216592,0.66433184,13.14872,67
1183,node-713,relay,0,276116,25954904,0,0,0,0,25954904,0.51909808,10.282096,67,360364,33874216,0,0,0,0,33874216,0.6774843199999999,13.420944,67
1184,node-714,relay,0,267250,25121500,0,0,0,0,25121500,0.50243,9.949712,67,334958,31486052,0,0,0,0,31486052,0.6297210400000001,12.473424,67
1185,node-715,relay,0,256711,24130834,0,0,0,0,24130834,0.48261668,9.554912,67,326289,30671166,0,0,0,0,30671166,0.61342332,12.162096,67
1186,node-716,relay,0,231756,21785064,0,0,0,0,21785064,0.43570127999999997,8.6292,67,405997,38163718,0,0,0,0,38163718,0.76327436,15.119712,67
1187,node-717,relay,0,1391798,130829012,0,0,0,0,130829012,2.6165802400000002,51.821824,67,369914,34771916,0,0,0,0,34771916,0.6954383199999999,13.773632,67
1188,node-718,relay,0,1346843,126603242,0,0,0,0,126603242,2.53206484,50.149376,67,343602,32298588,0,0,0,0,32298588,0.64597176,12.790016,67
1189,node-719,relay,0,1372483,129013402,0,0,0,0,129013402,2.5802680400000004,51.107424,67,335171,31506074,0,0,0,0,31506074,0.63012148,12.486208,67
1190,node-72,relay,0,882097,82917118,0,0,0,0,82917118,1.65834236,32.845856,67,323265,30386910,0,0,0,0,30386910,0.6077382,12.026736,67
1191,node-720,relay,0,1364883,128299002,0,0,0,0,128299002,2.56598004,50.82016,67,324770,30528380,0,0,0,0,30528380,0.6105676,12.086144,67
1192,node-721,relay,0,1292861,121528934,0,0,0,0,121528934,2.43057868,48.13928,67,342548,32199512,0,0,0,0,32199512,0.6439902399999999,12.753168,67
1193,node-722,relay,0,1382541,129958854,0,0,0,0,129958854,2.59917708,51.47816,67,325197,30568518,0,0,0,0,30568518,0.61137036,12.107952,67
1194,node-723,relay,0,1382565,129961110,0,0,0,0,129961110,2.5992222,51.477408,67,325323,30580362,0,0,0,0,30580362,0.61160724,12.115472,67
1195,node-724,relay,0,1390945,130748830,0,0,0,0,130748830,2.6149766,51.787984,67,290366,27294404,0,0,0,0,27294404,0.54588808,10.812256,67
1196,node-725,relay,0,1381392,129850848,0,0,0,0,129850848,2.5970169600000004,51.443568,67,290341,27292054,0,0,0,0,27292054,0.54584108,10.808496,67
1197,node-726,relay,0,1346972,126615368,0,0,0,0,126615368,2.53230736,50.151632,67,343346,32274524,0,0,0,0,32274524,0.64549048,12.790016,67
1198,node-727,relay,0,275916,25936104,0,0,0,0,25936104,0.51872208,10.274576,67,352518,33136692,0,0,0,0,33136692,0.6627338399999999,13.129168,67
1199,node-728,relay,0,231001,21714094,0,0,0,0,21714094,0.43428188,8.60288,67,352564,33141016,0,0,0,0,33141016,0.66282032,13.126912,67
1200,node-729,relay,0,249243,23428842,0,0,0,0,23428842,0.46857684,9.280432,67,343834,32320396,0,0,0,0,32320396,0.64640792,12.804304,67
1201,node-73,relay,0,898801,84487294,0,0,0,0,84487294,1.68974588,33.461744,67,307663,28920322,0,0,0,0,28920322,0.57840644,11.469504,67
1202,node-730,relay,0,311369,29268686,0,0,0,0,29268686,0.58537372,11.593584,67,379386,35662284,0,0,0,0,35662284,0.71324568,14.123312,67
1203,node-731,relay,0,310330,29171020,0,0,0,0,29171020,0.5834204,11.553728,67,353318,33211892,0,0,0,0,33211892,0.66423784,13.151728,67
1204,node-732,relay,0,293847,27621618,0,0,0,0,27621618,0.5524323600000001,10.940096,67,316830,29782020,0,0,0,0,29782020,0.5956404,11.796624,67
1205,node-733,relay,0,231070,21720580,0,0,0,0,21720580,0.4344116,8.604384,67,344178,32352732,0,0,0,0,32352732,0.64705464,12.811824,67
1206,node-734,relay,0,293593,27597742,0,0,0,0,27597742,0.5519548400000001,10.932576,67,362182,34045108,0,0,0,0,34045108,0.68090216,13.482608,67
1207,node-735,relay,0,292661,27510134,0,0,0,0,27510134,0.55020268,10.895728,67,326739,30713466,0,0,0,0,30713466,0.61426932,12.168864,67
1208,node-736,relay,0,248692,23377048,0,0,0,0,23377048,0.46754095999999995,9.25712,67,308675,29015450,0,0,0,0,29015450,0.5803090000000001,11.495072,67
1209,node-737,relay,0,311645,29294630,0,0,0,0,29294630,0.5858926,11.604112,67,370854,34860276,0,0,0,0,34860276,0.69720552,13.813488,67
1210,node-738,relay,0,275624,25908656,0,0,0,0,25908656,0.51817312,10.259536,67,352909,33173446,0,0,0,0,33173446,0.66346892,13.139696,67
1211,node-739,relay,0,274896,25840224,0,0,0,0,25840224,0.51680448,10.235472,67,308806,29027764,0,0,0,0,29027764,0.58055528,11.50184,67
1212,node-74,relay,0,311064,29240016,0,0,0,0,29240016,0.58480032,11.581552,67,369059,34691546,0,0,0,0,34691546,0.69383092,13.744304,67
1213,node-740,relay,0,293285,27568790,0,0,0,0,27568790,0.5513758,10.917536,67,317236,29820184,0,0,0,0,29820184,0.59640368,11.809408,67
1214,node-741,relay,0,275246,25873124,0,0,0,0,25873124,0.5174624800000001,10.246752,67,335643,31550442,0,0,0,0,31550442,0.63100884,12.497488,67
1215,node-742,relay,0,274712,25822928,0,0,0,0,25822928,0.51645856,10.2272,67,316613,29761622,0,0,0,0,29761622,0.59523244,11.79136,67
1216,node-743,relay,0,222402,20905788,0,0,0,0,20905788,0.41811576,8.280272,67,317339,29829866,0,0,0,0,29829866,0.59659732,11.81768,67
1217,node-744,relay,0,274581,25810614,0,0,0,0,25810614,0.51621228,10.225696,67,264067,24822298,0,0,0,0,24822298,0.49644596,9.834656,67
1218,node-745,relay,0,293436,27582984,0,0,0,0,27582984,0.55165968,10.92656,67,290480,27305120,0,0,0,0,27305120,0.5461024,10.820528,67
1219,node-746,relay,0,213349,20054806,0,0,0,0,20054806,0.40109612,7.942624,67,335364,31524216,0,0,0,0,31524216,0.63048432,12.4832,67
1220,node-747,relay,0,301450,28336300,0,0,0,0,28336300,0.5667260000000001,11.224352,67,379873,35708062,0,0,0,0,35708062,0.7141612399999999,14.151136,67
1221,node-748,relay,0,266903,25088882,0,0,0,0,25088882,0.50177764,9.939184,67,289888,27249472,0,0,0,0,27249472,0.54498944,10.795712,67
1222,node-749,relay,0,267273,25123662,0,0,0,0,25123662,0.50247324,9.95272,67,361481,33979214,0,0,0,0,33979214,0.6795842799999999,13.457792,67
1223,node-75,relay,0,301873,28376062,0,0,0,0,28376062,0.56752124,11.240896,67,333896,31386224,0,0,0,0,31386224,0.6277244799999999,12.429056,67
1224,node-750,relay,0,274909,25841446,0,0,0,0,25841446,0.51682892,10.235472,67,299581,28160614,0,0,0,0,28160614,0.56321228,11.156672,67
1225,node-751,relay,0,204469,19220086,0,0,0,0,19220086,0.38440171999999995,7.615504,67,388267,36497098,0,0,0,0,36497098,0.72994196,14.4572,67
1226,node-752,relay,0,276405,25982070,0,0,0,0,25982070,0.5196414,10.292624,67,351407,33032258,0,0,0,0,33032258,0.66064516,13.082544,67
1227,node-753,relay,0,248847,23391618,0,0,0,0,23391618,0.46783236,9.267648,67,271669,25536886,0,0,0,0,25536886,0.51073772,10.107632,67
1228,node-754,relay,0,266654,25065476,0,0,0,0,25065476,0.50130952,9.927904,67,298914,28097916,0,0,0,0,28097916,0.56195832,11.13336,67
1229,node-755,relay,0,248945,23400830,0,0,0,0,23400830,0.4680166,9.2684,67,343770,32314380,0,0,0,0,32314380,0.6462876,12.80656,67
1230,node-756,relay,0,266117,25014998,0,0,0,0,25014998,0.50029996,9.9076,67,255293,23997542,0,0,0,0,23997542,0.47995084,9.50904,67
1231,node-757,relay,0,256389,24100566,0,0,0,0,24100566,0.48201132,9.545888,67,352769,33160286,0,0,0,0,33160286,0.66320572,13.147216,67
1232,node-758,relay,0,221583,20828802,0,0,0,0,20828802,0.41657604,8.250192,67,290959,27350146,0,0,0,0,27350146,0.54700292,10.837824,67
1233,node-759,relay,0,249347,23438618,0,0,0,0,23438618,0.46877236000000005,9.284192,67,334441,31437454,0,0,0,0,31437454,0.62874908,12.45312,67
1234,node-76,relay,0,337305,31706670,0,0,0,0,31706670,0.6341334,12.561408,67,272968,25658992,0,0,0,0,25658992,0.51317984,10.167792,67
1235,node-760,relay,0,248691,23376954,0,0,0,0,23376954,0.46753908000000005,9.262384,67,325985,30642590,0,0,0,0,30642590,0.6128518,12.1448,67
1236,node-761,relay,0,267172,25114168,0,0,0,0,25114168,0.50228336,9.94896,67,352102,33097588,0,0,0,0,33097588,0.66195176,13.108864,67
1237,node-762,relay,0,257902,24242788,0,0,0,0,24242788,0.48485576,9.604544,67,316850,29783900,0,0,0,0,29783900,0.5956779999999999,11.801136,67
1238,node-763,relay,0,249271,23431474,0,0,0,0,23431474,0.46862948000000004,9.281184,67,353046,33186324,0,0,0,0,33186324,0.66372648,13.14872,67
1239,node-764,relay,0,303033,28485102,0,0,0,0,28485102,0.56970204,11.28376,67,351963,33084522,0,0,0,0,33084522,0.66169044,13.102096,67
1240,node-765,relay,0,221709,20840646,0,0,0,0,20840646,0.41681292,8.2532,67,370769,34852286,0,0,0,0,34852286,0.69704572,13.81424,67
1241,node-766,relay,0,248685,23376390,0,0,0,0,23376390,0.4675278,9.257872,67,370896,34864224,0,0,0,0,34864224,0.69728448,13.811232,67
1242,node-767,relay,0,293798,27617012,0,0,0,0,27617012,0.5523402399999999,10.9416,67,326150,30658100,0,0,0,0,30658100,0.613162,12.141792,67
1243,node-768,relay,0,293601,27598494,0,0,0,0,27598494,0.55196988,10.933328,67,343873,32324062,0,0,0,0,32324062,0.64648124,12.805056,67
1244,node-769,relay,0,266833,25082302,0,0,0,0,25082302,0.50164604,9.933168,67,353142,33195348,0,0,0,0,33195348,0.66390696,13.155488,67
1245,node-77,relay,0,257888,24241472,0,0,0,0,24241472,0.48482944000000006,9.59928,67,398065,37418110,0,0,0,0,37418110,0.7483622,14.804624,67
1246,node-770,relay,0,293437,27583078,0,0,0,0,27583078,0.55166156,10.927312,67,308471,28996274,0,0,0,0,28996274,0.57992548,11.48304,67
1247,node-771,relay,0,303069,28488486,0,0,0,0,28488486,0.56976972,11.286016,67,325822,30627268,0,0,0,0,30627268,0.61254536,12.124496,67
1248,node-772,relay,0,266360,25037840,0,0,0,0,25037840,0.5007568,9.918128,67,290269,27285286,0,0,0,0,27285286,0.54570572,10.803232,67
1249,node-773,relay,0,284926,26783044,0,0,0,0,26783044,0.53566088,10.61072,67,299024,28108256,0,0,0,0,28108256,0.56216512,11.131104,67
1250,node-774,relay,0,248928,23399232,0,0,0,0,23399232,0.46798464,9.269152,67,370546,34831324,0,0,0,0,34831324,0.69662648,13.800704,67
1251,node-775,relay,0,275954,25939676,0,0,0,0,25939676,0.51879352,10.275328,67,334988,31488872,0,0,0,0,31488872,0.62977744,12.474928,67
1252,node-776,relay,0,284713,26763022,0,0,0,0,26763022,0.53526044,10.600944,67,335050,31494700,0,0,0,0,31494700,0.6298940000000001,12.46816,67
1253,node-777,relay,0,320399,30117506,0,0,0,0,30117506,0.60235012,11.93048,67,352827,33165738,0,0,0,0,33165738,0.66331476,13.132928,67
1254,node-778,relay,0,293158,27556852,0,0,0,0,27556852,0.55113704,10.917536,67,272618,25626092,0,0,0,0,25626092,0.51252184,10.155008,67
1255,node-779,relay,0,257745,24228030,0,0,0,0,24228030,0.4845606,9.59552,67,326424,30683856,0,0,0,0,30683856,0.61367712,12.168864,67
1256,node-78,relay,0,248613,23369622,0,0,0,0,23369622,0.46739244,9.25336,67,299812,28182328,0,0,0,0,28182328,0.56364656,11.164944,67
1257,node-780,relay,0,292553,27499982,0,0,0,0,27499982,0.54999964,10.891968,67,317741,29867654,0,0,0,0,29867654,0.59735308,11.827456,67
1258,node-781,relay,0,478903,45016882,0,0,0,0,45016882,0.90033764,17.835184,67,299281,28132414,0,0,0,0,28132414,0.56264828,11.13336,67
1259,node-782,relay,0,485934,45677796,0,0,0,0,45677796,0.91355592,18.090864,67,243518,22890692,0,0,0,0,22890692,0.45781384,9.075888,67
1260,node-783,relay,0,504933,47463702,0,0,0,0,47463702,0.9492740399999999,18.795488,67,303596,28538024,0,0,0,0,28538024,0.57076048,11.32512,67
1261,node-784,relay,0,505945,47558830,0,0,0,0,47558830,0.9511766,18.84136,67,325451,30592394,0,0,0,0,30592394,0.61184788,12.120736,67
1262,node-785,relay,0,531730,49982620,0,0,0,0,49982620,0.9996524,19.7964,67,304808,28651952,0,0,0,0,28651952,0.57303904,11.369488,67
1263,node-786,relay,0,576817,54220798,0,0,0,0,54220798,1.08441596,21.475616,67,315906,29695164,0,0,0,0,29695164,0.5939032799999999,11.769552,67
1264,node-787,relay,0,497408,46756352,0,0,0,0,46756352,0.93512704,18.524016,67,284860,26776840,0,0,0,0,26776840,0.5355368,10.590416,67
1265,node-788,relay,0,558772,52524568,0,0,0,0,52524568,1.05049136,20.808592,67,345415,32469010,0,0,0,0,32469010,0.6493802,12.853936,67
1266,node-789,relay,0,531882,49996908,0,0,0,0,49996908,0.9999381599999999,19.801664,67,330257,31044158,0,0,0,0,31044158,0.62088316,12.297456,67
